AED,784,United Arab Emirates dirham,дирхам ОАЭ,
AFN,971,Afghanistan Afghani,афганский афгани,؋
ALL,008,Albania Lek,албанский лек,Lek
AMD,051,Armenian Dram,армянский драм,
ANG,532,Netherlands Antilles Guilder,антильский гульден,ƒ
AOA,973,Angolian kwanza,ангольская кванза,
ARS,032,Argentina Peso,аргентинское песо,$
AUD,036,Australia Dollar,австралийский доллар,$
AWG,533,Aruba Guilder,арубанский гульден,ƒ
AZN,944,Azerbaijan New Manat,азербайджанский манат,ман
BAM,977,Bosnia and Herzegovina Convertible Marka,конвертируемая марка,KM
BBD,052,Barbados Dollar,барбадосский доллар,$
BDT,050,Bangladeshi taka,бангладешская така,
BGN,975,Bulgaria Lev,болгарский лев,лв
BHD,048,Bahraini dinar,бахрейнский динар,
BIF,108,Burundian franc,бурундийский франк,
BMD,060,Bermuda Dollar,бермудский доллар,$
BND,096,Brunei Darussalam Dollar,брунейский доллар,$
BOB,068,Bolivia Bolíviano,боливийский боливиано,$b
BRL,986,Brazil Real,бразильский реал,R$
BSD,044,Bahamas Dollar,багамский доллар,$
BWP,072,Botswana Pula,ботсванская пула,P
BYR,974,Belarus Ruble,белорусский рубль,p.
BZD,084,Belize Dollar,белизский доллар,BZ$
CAD,124,Canada Dollar,канадский доллар,$
CDF,976,Congolese franc,конголезский франк,
CHF,756,Switzerland Franc,швейцарский франк,CHF
CLP,152,Chile Peso,чилийское песо,$
CNY,156,China Yuan Renminbi,китайский юань,¥
COP,170,Colombia Peso,колумбийское песо,$
CRC,188,Costa Rica Colon,костариканский колон,₡
CUP,192,Cuba Peso,кубинское песо,₱
CZK,203,Czech Republic Koruna,чешская крона,Kč
DJF,262,Djiboutian franc,франк Джибути,
DKK,208,Denmark Krone,датская крона,kr
DOP,214,Dominican Republic Peso,доминиканское песо,RD$
DZD,012,Algerian Dinar,алжирский динар,
EEK,233,Estonian Kroon,эстонская крона,kr
EGP,818,Egypt Pound,египетский фунт,£
ETB,230,Ethiopian birr,эфиопский быр,
EUR,978,Euro Member Countries,евро,€
FJD,242,Fiji Dollar,доллар Фиджи,$
FKP,238,Falkland Islands (Malvinas) Pound,фунт Фолклендских островов,£
GBP,826,United Kingdom Pound,фунт стерлингов Соединенного королевства,£
GEL,981,Georgian lari,грузинский лари,
GGP,,Guernsey Pound,гернсийский фунт,£
GHS,936,Ghana Cedi,ганский седи,¢
GIP,292,Gibraltar Pound,гибралтарский фунт,£
GMD,270,Gambian Dalasi,гамбийский даласи,
GNF,324,Guinean Franc,гвинейский франк,
GTQ,320,Guatemala Quetzal,гватемальский кетцаль,Q
GYD,328,Guyana Dollar,гайанский доллар,$
HKD,344,Hong Kong Dollar,гонконгский доллар,$
HNL,340,Honduras Lempira,гондурасская лемпира,L
HRK,191,Croatia Kuna,хорватская куна,kn
HUF,348,Hungary Forint,венгерский форинт,Ft
IDR,360,Indonesia Rupiah,индонезийская рупия,Rp
ILS,376,Israel Shekel,новый израильский шекель,₪
INR,356,India Rupee,индийская рупия,
IQD,368,Iraqi dinar,иракский динар,
IRR,364,Iran Rial,иранский риал,﷼
ISK,352,Iceland Krona,исландская крона,kr
JMD,388,Jamaica Dollar,ямайский доллар,J$
JOD,400,Jordanian dinar,иорданский динар,
JPY,392,Japan Yen,японская иена,¥
KES,404,Kenyan shilling,кенийский шиллинг,
KGS,417,Kyrgyzstan Som,киргизский сом,лв
KHR,116,Cambodia Riel,камбоджийский риель,៛
KPW,408,Korea (North) Won,северокорейская вона,₩
KRW,410,Korea (South) Won,вона Республики Корея,₩
KWD,414,Kuwaiti dinar,кувейтский динар,
KYD,136,Cayman Islands Dollar,доллар каймановых островов,$
KZT,398,Kazakhstan Tenge,казахстанский тенге,лв
LAK,418,Laos Kip,кип Лаосской НДР,₭
LBP,422,Lebanon Pound,ливанский фунт,£
LKR,144,Sri Lanka Rupee,шри-ланкийская рупия,₨
LRD,420,Liberia Dollar,либерийский доллар,$
LTL,440,Lithuanian lit,литовский лит,Lt
LVL,428,Latvian lat,латвийский лат,Ls
LYD,434,Libyan dinar,ливийский динар,
MAD,504,Moroccan dirham,марокканский дирхам,
MDL,498,Moldovan leu,молдавский лей,
MGA,969,Malagasy ariary,малагасийский ариари,
MKD,807,Macedonia Denar,денар Республики Македония,ден
MMK,104,Myanmar kyat,мьянманский чат,
MNT,496,Mongolia Tughrik,монгольский тугрик,₮
MRO,478,Mauritanian ouguiya,мавританская угия,
MUR,480,Mauritius Rupee,маврикийская рупия,₨
MWK,454,Malawian kwacha,малавийская квача,
MXN,484,Mexico Peso,мексиканское песо,$
MYR,458,Malaysia Ringgit,малайзийский ринггит,RM
